"","Tier","Yellow","Green"
"354",4,0,3
"355",5,4,0
"356",6,3,0
"357",7,1,1
"358",8,0,1
"359",9,1,0
"360",10,1,1
"361",1,1,0
"362",2,3,0
"363",3,0,1
"364",4,1,0
"365",5,1,1
"366",6,1,1
"367",7,0,0
"368",8,2,1
"369",9,0,0
"370",10,2,0
"371",1,0,1
"372",2,1,2
"373",3,0,3
"374",4,0,1
"375",5,2,0
"376",6,2,0
"377",7,1,0
"378",8,2,1
"379",9,2,0
"380",10,1,0
"381",1,1,0
"382",2,0,1
"383",3,0,0
"384",4,1,0
"385",5,2,2
"386",6,2,0
"387",7,0,4
"388",8,3,0
"389",9,3,0
"390",10,1,1
"391",1,2,1
"392",2,1,1
"393",3,1,0
"394",4,1,0
"395",5,2,0
"396",6,3,0
"397",7,1,2
"398",8,1,0
"399",9,1,0
"400",10,1,1
"401",1,0,0
"402",2,1,0
"403",3,2,0
"404",4,0,2
"405",5,3,0
"406",6,1,0
"407",7,1,0
"408",8,1,2
"409",9,0,2
"410",10,0,0
"411",1,0,0
"412",2,1,0
"413",3,1,0
"414",4,1,1
"415",5,0,2
"416",6,1,1
"417",7,0,1
"418",8,2,1
"419",9,0,0
"420",10,1,0
"421",1,1,0
"422",2,1,0
"423",3,2,1
"424",4,1,0
"425",5,0,0
"426",6,3,0
"427",7,1,1
"428",8,2,0
"429",9,1,0
"430",10,1,0
"431",1,3,0
"432",2,1,1
"433",3,0,1
"434",4,1,0
"435",5,1,0
"436",6,2,0
"437",7,2,0
"438",8,0,1
"439",9,1,0
"440",10,0,0
"441",1,0,3
"442",2,1,0
"443",3,4,0
"444",4,0,1
"445",5,2,0
"446",6,1,1
"447",7,2,0
"448",8,1,1
"449",9,0,0
"450",10,3,0
"451",1,2,0
"452",2,1,0
"453",3,0,1
"454",4,1,0
"455",5,2,0
"456",6,1,1
"457",7,0,1
"458",8,0,1
"459",9,0,3
"460",10,0,0
"461",1,1,1
"462",2,0,0
"463",3,1,0
"464",4,0,2
"465",5,1,1
"466",6,1,0
"467",7,1,0
"468",8,2,0
"469",9,1,1
"470",10,2,0
"471",1,1,0
"472",2,1,0
"473",3,1,1
"474",4,0,0
"475",5,0,0
"476",6,2,1
"477",7,3,0
"478",8,0,1
"479",9,2,2
"480",10,0,1
"481",1,1,1
"482",2,1,1
"483",3,0,2
"484",4,3,0
"485",5,2,1
"486",6,0,1
"487",7,0,1
"488",8,1,0
"489",9,0,2
"490",10,2,0
"491",1,1,1
"492",2,2,0
"493",3,1,1
"494",4,1,1
"495",5,2,1
"496",6,0,1
"497",7,2,0
"498",8,1,1
"499",9,1,1
"500",10,2,1
"501",1,2,0
"502",2,2,1
"503",3,1,0
"504",4,2,0
"505",5,0,2
"506",6,2,0
"507",7,1,0
"508",8,3,0
"509",9,1,0
"510",10,2,1
"511",1,1,0
"512",2,0,1
"513",3,1,0
"514",4,0,3
"515",5,1,0
"516",6,3,0
"517",7,2,0
"518",8,1,0
"519",9,2,0
"520",10,2,1
"521",1,0,1
"522",2,1,1
"523",3,1,1
"524",4,4,0
"525",5,1,0
"526",6,1,0
"527",7,2,1
"528",8,2,0
"529",9,2,0
"530",10,2,1
"531",1,1,0
"532",2,1,1
"533",3,1,0
"534",4,3,0
"535",5,3,0
"536",6,1,0
"537",7,2,2
"538",8,2,1
"539",9,0,0
"540",10,1,1
"541",1,0,0
"542",2,1,0
"543",3,4,0
"544",4,1,1
"545",5,1,2
"546",6,1,0
"547",7,3,0
"548",8,0,2
"549",9,1,0
"550",10,2,0
"551",1,1,0
"552",2,1,1
"553",3,1,0
"554",4,1,0
"555",5,2,0
"556",6,3,0
"557",7,0,0
"558",8,0,1
"559",9,0,0
"560",10,0,0
"561",1,0,1
"562",2,1,0
"563",3,2,0
"564",4,1,2
"565",5,1,0
"566",6,3,0
"567",7,1,0
"568",8,1,0
"569",9,2,0
"570",10,2,0
"571",1,3,0
"572",2,0,0
"573",3,2,0
"574",4,1,1
"575",5,1,1
"576",6,1,0
"577",7,1,0
"578",8,2,0
